_num,_widgetName,_source,_resultNumber,_pageUrl,ranking,provincia,espectadores,salas,recaudacion
32,CineRecProv,CineRecProv,32,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,32,León,649.592,25,4.150.11785 €
84,CineRecProv,CineRecProv,32,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,32,León,708.235,34,3.977.76148 €
136,CineRecProv,CineRecProv,32,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,32,Salamanca,766.456,35,4.281.09360 €
188,CineRecProv,CineRecProv,32,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,32,León,678.561,27,4.201.76655 €
240,CineRecProv,CineRecProv,32,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,32,Salamanca,699.177,36,4.213.13230 €
33,CineRecProv,CineRecProv,33,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,33,Salamanca,665.059,33,4.038.79924 €
85,CineRecProv,CineRecProv,33,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,33,Salamanca,735.212,35,3.886.42345 €
137,CineRecProv,CineRecProv,33,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,33,León,731.148,25,4.205.12390 €
189,CineRecProv,CineRecProv,33,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,33,La Rioja,677.809,45,4.113.74919 €
241,CineRecProv,CineRecProv,33,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,33,León,664.117,26,4.023.93335 €
34,CineRecProv,CineRecProv,34,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,34,La Rioja,656.881,44,3.964.60631 €
86,CineRecProv,CineRecProv,34,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,34,La Rioja,701.310,45,3.873.80992 €
138,CineRecProv,CineRecProv,34,http://www.mcu.es/cine/MC/CDC/Anio2009/CineProvincias.html,34,Huelva,705.978,45,3.774.63990 €
190,CineRecProv,CineRecProv,34,http://www.mcu.es/cine/MC/CDC/Anio2011/CineProvincias.html,34,Salamanca,681.869,33,4.065.01560 €
242,CineRecProv,CineRecProv,34,http://www.mcu.es/cine/MC/CDC/Anio2010/CineProvincias.html,34,La Rioja,621.895,45,3.893.73950 €
35,CineRecProv,CineRecProv,35,http://www.mcu.es/cine/MC/CDC/Anio2012/CineProvincias.html,35,Huelva,655.609,43,3.944.03802 €
87,CineRecProv,CineRecProv,35,http://www.mcu.es/cine/MC/CDC/Anio2008/CineProvincias.html,35,Huelva,652.479,44,3.398.54680 €
